学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10246)复旦大学,统考,(016)哲学学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(716)哲学综合知识                 ,(967)马克思主义哲学与西方马克思主义原著                 
(10246)复旦大学,统考,(016)哲学学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(716)哲学综合知识                 ,(967)马克思主义哲学与西方马克思主义原著                 
(10246)复旦大学,统考,(016)哲学学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(716)哲学综合知识                 ,(967)马克思主义哲学与西方马克思主义原著                 
(10246)复旦大学,统考,(016)哲学学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(716)哲学综合知识                 ,(967)马克思主义哲学与西方马克思主义原著                 
(10246)复旦大学,统考,(016)哲学学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(716)哲学综合知识                 ,(967)马克思主义哲学与西方马克思主义原著                 
(10246)复旦大学,统考,(016)哲学学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(716)哲学综合知识                 ,(967)马克思主义哲学与西方马克思主义原著                 
(10246)复旦大学,统考,(016)哲学学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(716)哲学综合知识                 ,(967)马克思主义哲学与西方马克思主义原著                 
(10246)复旦大学,统考,(016)哲学学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(716)哲学综合知识                 ,(825)中国哲学史                 
(10246)复旦大学,统考,(016)哲学学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(716)哲学综合知识                 ,(825)中国哲学史                 
(10246)复旦大学,统考,(016)哲学学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(716)哲学综合知识                 ,(825)中国哲学史                 
(10246)复旦大学,统考,(016)哲学学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(716)哲学综合知识                 ,(825)中国哲学史                 
(10246)复旦大学,统考,(016)哲学学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(716)哲学综合知识                 ,(825)中国哲学史                 
(10246)复旦大学,统考,(016)哲学学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(716)哲学综合知识                 ,(825)中国哲学史                 
(10246)复旦大学,统考,(016)哲学学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(716)哲学综合知识                 ,(826)外国哲学史（从古希腊到现代）                 
(10246)复旦大学,统考,(016)哲学学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(716)哲学综合知识                 ,(826)外国哲学史（从古希腊到现代）                 
(10246)复旦大学,统考,(016)哲学学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(716)哲学综合知识                 ,(826)外国哲学史（从古希腊到现代）                 
(10246)复旦大学,统考,(016)哲学学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(716)哲学综合知识                 ,(826)外国哲学史（从古希腊到现代）                 
(10246)复旦大学,统考,(016)哲学学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(716)哲学综合知识                 ,(826)外国哲学史（从古希腊到现代）                 
