学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10673)云南大学,统考,(002)政府管理学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学原理                 ,(811)综合专业理论                 
(10673)云南大学,统考,(002)政府管理学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学原理                 ,(811)综合专业理论                 
(10673)云南大学,统考,(002)政府管理学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学原理                 ,(811)综合专业理论                 
(10673)云南大学,统考,(002)政府管理学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学原理                 ,(811)综合专业理论                 
(10673)云南大学,统考,(002)政府管理学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学原理                 ,(811)综合专业理论                 
(10673)云南大学,统考,(002)政府管理学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学原理                 ,(811)综合专业理论                 
(10673)云南大学,统考,(002)政府管理学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学原理                 ,(811)综合专业理论                 
(10673)云南大学,统考,(002)政府管理学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学原理                 ,(811)综合专业理论                 
(10673)云南大学,统考,(002)政府管理学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学原理                 ,(811)综合专业理论                 
(10673)云南大学,统考,(002)政府管理学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学原理                 ,(811)综合专业理论                 
(10673)云南大学,统考,(002)政府管理学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学原理                 ,(811)综合专业理论                 
(10673)云南大学,统考,(002)政府管理学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学原理                 ,(811)综合专业理论                 
(10673)云南大学,统考,(002)政府管理学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学原理                 ,(811)综合专业理论                 
(10673)云南大学,统考,(002)政府管理学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学原理                 ,(811)综合专业理论                 
(10673)云南大学,统考,(002)政府管理学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学原理                 ,(811)综合专业理论                 
(10673)云南大学,统考,(007)民族学与社会学学院,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(636)马克思主义哲学原理                 ,(811)综合专业理论                 
(10673)云南大学,统考,(007)民族学与社会学学院,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(636)马克思主义哲学原理                 ,(811)综合专业理论                 
(10673)云南大学,统考,(007)民族学与社会学学院,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(636)马克思主义哲学原理                 ,(811)综合专业理论                 
(10673)云南大学,统考,(007)民族学与社会学学院,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(636)马克思主义哲学原理                 ,(811)综合专业理论                 
(10674)昆明理工大学,统考,(032)马克思主义学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(626)哲学概论                 ,(868)马克思主义哲学                 
(10674)昆明理工大学,统考,(032)马克思主义学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(626)哲学概论                 ,(868)马克思主义哲学                 
