学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10126)内蒙古大学,统考,(001)蒙古学学院,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(617)宗教学概论（以佛教为主）                 ,(817)蒙古族佛教文化及其文献                 
(10126)内蒙古大学,统考,(001)蒙古学学院,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(617)宗教学概论（以佛教为主）                 ,(817)蒙古族佛教文化及其文献                 
(10126)内蒙古大学,统考,(001)蒙古学学院,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(617)宗教学概论（以佛教为主）                 ,(817)蒙古族佛教文化及其文献                 
(10126)内蒙古大学,统考,(032)哲学学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(623)马克思主义哲学                 ,(823)哲学综合                 
(10126)内蒙古大学,统考,(032)哲学学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(623)马克思主义哲学                 ,(823)哲学综合                 
(10126)内蒙古大学,统考,(032)哲学学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(623)马克思主义哲学                 ,(823)哲学综合                 
(10126)内蒙古大学,统考,(032)哲学学院,(010108)科学技术哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(623)马克思主义哲学                 ,(823)哲学综合                 
(10135)内蒙古师范大学,统考,(003)民族学人类学学院,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(704)马克思主义哲学                 ,(804)宗教学概论                 
(10135)内蒙古师范大学,统考,(003)民族学人类学学院,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(704)马克思主义哲学                 ,(804)宗教学概论                 
(10135)内蒙古师范大学,统考,(003)民族学人类学学院,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(704)马克思主义哲学                 ,(804)宗教学概论                 
(10135)内蒙古师范大学,统考,(006)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(704)马克思主义哲学                 ,(813)马克思主义哲学史                 
(10135)内蒙古师范大学,统考,(006)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(704)马克思主义哲学                 ,(814)中国哲学史                 
(10135)内蒙古师范大学,统考,(006)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(704)马克思主义哲学                 ,(815)逻辑学                 
(10135)内蒙古师范大学,统考,(006)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(704)马克思主义哲学                 ,(816)伦理学理论                 
