学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10183)吉林大学,统考,(101)哲学社会学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(610)哲学综合                 ,(801)哲学史（中国哲学史、西方哲学史）                 
(10183)吉林大学,统考,(101)哲学社会学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(610)哲学综合                 ,(801)哲学史（中国哲学史、西方哲学史）                 
(10183)吉林大学,统考,(101)哲学社会学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(610)哲学综合                 ,(801)哲学史（中国哲学史、西方哲学史）                 
(10183)吉林大学,统考,(101)哲学社会学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(610)哲学综合                 ,(801)哲学史（中国哲学史、西方哲学史）                 
(10183)吉林大学,统考,(101)哲学社会学院,(010106)美学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(610)哲学综合                 ,(801)哲学史（中国哲学史、西方哲学史）                 
(10183)吉林大学,统考,(101)哲学社会学院,(010108)科学技术哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(610)哲学综合                 ,(801)哲学史（中国哲学史、西方哲学史）                 
(10184)延边大学,统考,(008)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(610)中国哲学史                 ,(801)西方哲学史                 
(10184)延边大学,统考,(008)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(610)中国哲学史                 ,(801)西方哲学史                 
(10184)延边大学,统考,(008)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(610)中国哲学史                 ,(801)西方哲学史                 
(10200)东北师范大学,统考,(110)马克思主义学部,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(625)马克思主义哲学                 ,(850)中国哲学与外国哲学                 
(10200)东北师范大学,统考,(110)马克思主义学部,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(625)马克思主义哲学                 ,(850)中国哲学与外国哲学                 
(10200)东北师范大学,统考,(110)马克思主义学部,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(625)马克思主义哲学                 ,(850)中国哲学与外国哲学                 
(10200)东北师范大学,统考,(110)马克思主义学部,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(625)马克思主义哲学                 ,(850)中国哲学与外国哲学                 
(10200)东北师范大学,统考,(110)马克思主义学部,(010108)科学技术哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(625)马克思主义哲学                 ,(850)中国哲学与外国哲学                 
(10203)吉林师范大学,统考,(001)马克思主义学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(811)西方哲学史                 
(10203)吉林师范大学,统考,(001)马克思主义学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(811)西方哲学史                 
(10203)吉林师范大学,统考,(001)马克思主义学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(811)西方哲学史                 
(10203)吉林师范大学,统考,(001)马克思主义学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(811)西方哲学史                 
(10203)吉林师范大学,统考,(001)马克思主义学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(811)西方哲学史                 
(10203)吉林师范大学,统考,(001)马克思主义学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(811)西方哲学史                 
(10203)吉林师范大学,统考,(001)马克思主义学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(811)西方哲学史                 
(10203)吉林师范大学,统考,(001)马克思主义学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(811)西方哲学史                 
(10203)吉林师范大学,统考,(001)马克思主义学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(811)西方哲学史                 
