学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10610)四川大学,统考,(107)哲学系,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学通论                 ,(960)哲学史                 
(10610)四川大学,统考,(107)哲学系,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学通论                 ,(960)哲学史                 
(10610)四川大学,统考,(107)哲学系,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学通论                 ,(960)哲学史                 
(10610)四川大学,统考,(107)哲学系,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学通论                 ,(960)哲学史                 
(10610)四川大学,统考,(107)哲学系,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学通论                 ,(960)哲学史                 
(10610)四川大学,统考,(107)哲学系,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学通论                 ,(960)哲学史                 
(10610)四川大学,统考,(107)哲学系,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学通论                 ,(960)哲学史                 
(10610)四川大学,统考,(107)哲学系,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学通论                 ,(960)哲学史                 
(10610)四川大学,统考,(618)道教与宗教文化研究所,(010106)美学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学通论                 ,(960)哲学史                 
(10610)四川大学,统考,(618)道教与宗教文化研究所,(010106)美学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学通论                 ,(960)哲学史                 
(10610)四川大学,统考,(618)道教与宗教文化研究所,(010106)美学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学通论                 ,(960)哲学史                 
(10610)四川大学,统考,(618)道教与宗教文化研究所,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学通论                 ,(960)哲学史                 
(10610)四川大学,统考,(618)道教与宗教文化研究所,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学通论                 ,(960)哲学史                 
(10610)四川大学,统考,(618)道教与宗教文化研究所,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学通论                 ,(960)哲学史                 
(10610)四川大学,统考,(618)道教与宗教文化研究所,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学通论                 ,(960)哲学史                 
(10610)四川大学,统考,(618)道教与宗教文化研究所,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(662)哲学通论                 ,(960)哲学史                 
(10613)西南交通大学,统考,(018)人文学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(632)中国哲学史                 ,(842)中国宗教通史                 
(10613)西南交通大学,统考,(018)人文学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(632)中国哲学史                 ,(842)中国宗教通史                 
(10613)西南交通大学,统考,(018)人文学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(632)中国哲学史                 ,(842)中国宗教通史                 
(10636)四川师范大学,统考,(002)文学院,(010106)美学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(613)美学原理                 ,(813)中国美学史                 
(10636)四川师范大学,统考,(002)文学院,(010106)美学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(613)美学原理                 ,(813)中国美学史                 
