学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10055)南开大学,统考,(095)哲学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(726)马克思主义哲学原理                 ,(844)欧美哲学通史                 
(10055)南开大学,统考,(095)哲学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(726)马克思主义哲学原理                 ,(843)中国哲学史                 
(10055)南开大学,统考,(095)哲学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(726)马克思主义哲学原理                 ,(844)欧美哲学通史                 
(10055)南开大学,统考,(095)哲学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(726)马克思主义哲学原理                 ,(845)形式逻辑                 
(10055)南开大学,统考,(095)哲学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(726)马克思主义哲学原理                 ,(846)伦理学基础知识                 
(10055)南开大学,统考,(095)哲学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(726)马克思主义哲学原理                 ,(847)美学导论                 
(10055)南开大学,统考,(095)哲学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(726)马克思主义哲学原理                 ,(848)宗教学概论                 
(10055)南开大学,统考,(095)哲学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(726)马克思主义哲学原理                 ,(849)科学技术史                 
(10068)天津外国语大学,统考,(000)科研院所,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(730)哲学原理                 ,(830)哲学文献翻译                 
(10055)南开大学,统考,(094)日本研究院,(020105)世界经济,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(880)经济学基础（微、宏观）                 
(10055)南开大学,统考,(131)经济学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,"(879)经济学基础（政经, 微、宏观）                 "
(10055)南开大学,统考,(131)经济学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,"(879)经济学基础（政经, 微、宏观）                 "
(10055)南开大学,统考,(131)经济学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,"(879)经济学基础（政经, 微、宏观）                 "
(10055)南开大学,统考,(131)经济学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,"(879)经济学基础（政经, 微、宏观）                 "
(10055)南开大学,统考,(131)经济学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,"(879)经济学基础（政经, 微、宏观）                 "
(10055)南开大学,统考,(131)经济学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,"(879)经济学基础（政经, 微、宏观）                 "
(10055)南开大学,统考,(131)经济学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,"(879)经济学基础（政经, 微、宏观）                 "
(10065)天津师范大学,统考,(025)经济学院,(020101)政治经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(819)理论经济学综合                 
(10065)天津师范大学,统考,(025)经济学院,(020101)政治经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(819)理论经济学综合                 
(10065)天津师范大学,统考,(025)经济学院,(020101)政治经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(819)理论经济学综合                 
(10065)天津师范大学,统考,(025)经济学院,(020101)政治经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(819)理论经济学综合                 
(10065)天津师范大学,统考,(025)经济学院,(020104)西方经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(819)理论经济学综合                 
(10065)天津师范大学,统考,(025)经济学院,(020104)西方经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(819)理论经济学综合                 
(10065)天津师范大学,统考,(025)经济学院,(020104)西方经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(819)理论经济学综合                 
(10065)天津师范大学,统考,(025)经济学院,(020104)西方经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(819)理论经济学综合                 
(10065)天津师范大学,统考,(025)经济学院,(020105)世界经济,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(819)理论经济学综合                 
(10065)天津师范大学,统考,(025)经济学院,(020105)世界经济,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(819)理论经济学综合                 
(10065)天津师范大学,统考,(025)经济学院,(020105)世界经济,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(819)理论经济学综合                 
(10065)天津师范大学,统考,(025)经济学院,(020105)世界经济,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(819)理论经济学综合                 
(10065)天津师范大学,统考,(025)经济学院,(020106)人口、资源与环境经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(819)理论经济学综合                 
(10065)天津师范大学,统考,(025)经济学院,(020106)人口、资源与环境经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(819)理论经济学综合                 
(10065)天津师范大学,统考,(025)经济学院,(020106)人口、资源与环境经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(819)理论经济学综合                 
(10065)天津师范大学,统考,(025)经济学院,(020106)人口、资源与环境经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(819)理论经济学综合                 
(10068)天津外国语大学,统考,(007)国际商学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(850)经济学综合                 
