学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10749)宁夏大学,统考,(001)法学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)中国哲学史                 
(10749)宁夏大学,统考,(001)法学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)中国哲学史                 
(10749)宁夏大学,统考,(001)法学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)中国哲学史                 
(10749)宁夏大学,统考,(002)经济管理学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(803)宏微观经济学                 
(10749)宁夏大学,统考,(002)经济管理学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(803)宏微观经济学                 
(10749)宁夏大学,统考,(002)经济管理学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(803)宏微观经济学                 
(11407)北方民族大学,统考,(008)经济学院,(020200)应用经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(813)经济学综合                 
(11407)北方民族大学,统考,(008)经济学院,(020200)应用经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(813)经济学综合                 
(11407)北方民族大学,统考,(008)经济学院,(020200)应用经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(813)经济学综合                 
(11407)北方民族大学,统考,(008)经济学院,(020200)应用经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(813)经济学综合                 
(11407)北方民族大学,统考,(008)经济学院,(025100)(专业学位)金融,不区分方向,                (101)思想政治理论                ,(204)英语（二）                 ,(396)经济类综合能力                 ,(431)金融学综合                 
(11407)北方民族大学,统考,(008)经济学院,(025100)(专业学位)金融,不区分方向,                (101)思想政治理论                ,(204)英语（二）                 ,(396)经济类综合能力                 ,(431)金融学综合                 
(11407)北方民族大学,统考,(008)经济学院,(025100)(专业学位)金融,不区分方向,                (101)思想政治理论                ,(204)英语（二）                 ,(396)经济类综合能力                 ,(431)金融学综合                 
(11407)北方民族大学,统考,(002)数学与信息科学学院,(025200)(专业学位)应用统计,不区分方向,                (101)思想政治理论                ,(204)英语（二）                 ,(303)数学（三）                 ,(432)统计学                 
(11407)北方民族大学,统考,(002)数学与信息科学学院,(025200)(专业学位)应用统计,不区分方向,                (101)思想政治理论                ,(204)英语（二）                 ,(303)数学（三）                 ,(432)统计学                 
(11407)北方民族大学,统考,(002)数学与信息科学学院,(025200)(专业学位)应用统计,不区分方向,                (101)思想政治理论                ,(204)英语（二）                 ,(303)数学（三）                 ,(432)统计学                 
(11407)北方民族大学,统考,(008)经济学院,(025400)(专业学位)国际商务,不区分方向,                (101)思想政治理论                ,(204)英语（二）                 ,(396)经济类综合能力                 ,(434)国际商务专业基础                 
(11407)北方民族大学,统考,(008)经济学院,(025400)(专业学位)国际商务,不区分方向,                (101)思想政治理论                ,(204)英语（二）                 ,(396)经济类综合能力                 ,(434)国际商务专业基础                 
(11407)北方民族大学,统考,(008)经济学院,(025400)(专业学位)国际商务,不区分方向,                (101)思想政治理论                ,(204)英语（二）                 ,(396)经济类综合能力                 ,(434)国际商务专业基础                 
(10749)宁夏大学,统考,(001)法学院,(030100)法学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)法学综合（宪法、刑法）                 ,(802)民法学                 
(10749)宁夏大学,统考,(001)法学院,(030100)法学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)法学综合（宪法、刑法）                 ,(802)民法学                 
