学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10357)安徽大学,统考,(001)哲学学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马哲原理                 ,(801)哲学综合                 
(10357)安徽大学,统考,(001)哲学学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马哲原理                 ,(801)哲学综合                 
(10357)安徽大学,统考,(001)哲学学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马哲原理                 ,(801)哲学综合                 
(10357)安徽大学,统考,(001)哲学学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马哲原理                 ,(801)哲学综合                 
(10357)安徽大学,统考,(001)哲学学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马哲原理                 ,(801)哲学综合                 
(10357)安徽大学,统考,(001)哲学学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马哲原理                 ,(801)哲学综合                 
(10357)安徽大学,统考,(001)哲学学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马哲原理                 ,(801)哲学综合                 
(10357)安徽大学,统考,(001)哲学学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马哲原理                 ,(801)哲学综合                 
(10357)安徽大学,统考,(001)哲学学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马哲原理                 ,(801)哲学综合                 
(10357)安徽大学,统考,(001)哲学学院,(010104)逻辑学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马哲原理                 ,(801)哲学综合                 
(10357)安徽大学,统考,(001)哲学学院,(010104)逻辑学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马哲原理                 ,(801)哲学综合                 
(10357)安徽大学,统考,(001)哲学学院,(010104)逻辑学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马哲原理                 ,(801)哲学综合                 
(10357)安徽大学,统考,(001)哲学学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马哲原理                 ,(801)哲学综合                 
(10357)安徽大学,统考,(001)哲学学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马哲原理                 ,(801)哲学综合                 
(10357)安徽大学,统考,(001)哲学学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马哲原理                 ,(801)哲学综合                 
(10357)安徽大学,统考,(001)哲学学院,(010106)美学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马哲原理                 ,(801)哲学综合                 
(10357)安徽大学,统考,(001)哲学学院,(010106)美学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马哲原理                 ,(801)哲学综合                 
(10357)安徽大学,统考,(001)哲学学院,(010106)美学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马哲原理                 ,(801)哲学综合                 
(10357)安徽大学,统考,(001)哲学学院,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马哲原理                 ,(801)哲学综合                 
(10357)安徽大学,统考,(001)哲学学院,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马哲原理                 ,(801)哲学综合                 
(10357)安徽大学,统考,(001)哲学学院,(010108)科学技术哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马哲原理                 ,(801)哲学综合                 
(10357)安徽大学,统考,(001)哲学学院,(010108)科学技术哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马哲原理                 ,(801)哲学综合                 
(10357)安徽大学,统考,(001)哲学学院,(010108)科学技术哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马哲原理                 ,(801)哲学综合                 
(10357)安徽大学,统考,(001)哲学学院,(010108)科学技术哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马哲原理                 ,(801)哲学综合                 
(10358)中国科学技术大学,统考,(211)人文与社会科学学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(614)科技通史                 ,(826)科学技术哲学                 
(10358)中国科学技术大学,统考,(220)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(624)中国哲学史                 ,(839)西方哲学史                 
(10370)安徽师范大学,统考,(017)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(813)西方哲学史                 
(10370)安徽师范大学,统考,(017)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(813)西方哲学史                 
(10370)安徽师范大学,统考,(017)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(813)西方哲学史                 
(10370)安徽师范大学,统考,(017)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(813)西方哲学史                 
(10357)安徽大学,统考,(002)经济学院,(020101)政治经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)政治经济学                 
(10357)安徽大学,统考,(002)经济学院,(020101)政治经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)政治经济学                 
(10357)安徽大学,统考,(002)经济学院,(020103)经济史,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)政治经济学                 
(10357)安徽大学,统考,(002)经济学院,(020103)经济史,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)政治经济学                 
(10357)安徽大学,统考,(002)经济学院,(020104)西方经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)政治经济学                 
(10357)安徽大学,统考,(002)经济学院,(020104)西方经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)政治经济学                 
(10357)安徽大学,统考,(002)经济学院,(020105)世界经济,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)政治经济学                 
(10357)安徽大学,统考,(002)经济学院,(020105)世界经济,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)政治经济学                 
(10357)安徽大学,统考,(002)经济学院,(0201Z1)资源与环境经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)政治经济学                 
(10357)安徽大学,统考,(002)经济学院,(0201Z1)资源与环境经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)政治经济学                 
(10359)合肥工业大学,统考,(017)经济学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)经济学原理                 
(10359)合肥工业大学,统考,(017)经济学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)经济学原理                 
(10359)合肥工业大学,统考,(017)经济学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)经济学原理                 
(10359)合肥工业大学,统考,(017)经济学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)经济学原理                 
(10370)安徽师范大学,统考,(015)经济管理学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(951)西方经济学                 
