学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10108)山西大学,统考,(001)哲学社会学学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(614)马克思主义哲学原理                 ,(811)西方哲学史                 
(10108)山西大学,统考,(001)哲学社会学学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(614)马克思主义哲学原理                 ,(811)西方哲学史                 
(10108)山西大学,统考,(001)哲学社会学学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(614)马克思主义哲学原理                 ,(811)西方哲学史                 
(10108)山西大学,统考,(001)哲学社会学学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(614)马克思主义哲学原理                 ,(811)西方哲学史                 
(10108)山西大学,统考,(001)哲学社会学学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(614)马克思主义哲学原理                 ,(811)西方哲学史                 
(10108)山西大学,统考,(001)哲学社会学学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(614)马克思主义哲学原理                 ,(811)西方哲学史                 
(10108)山西大学,统考,(001)哲学社会学学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(614)马克思主义哲学原理                 ,(811)西方哲学史                 
(10108)山西大学,统考,(001)哲学社会学学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(614)马克思主义哲学原理                 ,(811)西方哲学史                 
(10108)山西大学,统考,(001)哲学社会学学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(614)马克思主义哲学原理                 ,(811)西方哲学史                 
(10108)山西大学,统考,(001)哲学社会学学院,(010104)逻辑学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(614)马克思主义哲学原理                 ,(811)西方哲学史                 
(10108)山西大学,统考,(001)哲学社会学学院,(010104)逻辑学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(614)马克思主义哲学原理                 ,(811)西方哲学史                 
(10108)山西大学,统考,(001)哲学社会学学院,(010104)逻辑学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(614)马克思主义哲学原理                 ,(811)西方哲学史                 
(10108)山西大学,统考,(001)哲学社会学学院,(010104)逻辑学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(614)马克思主义哲学原理                 ,(811)西方哲学史                 
(10108)山西大学,统考,(001)哲学社会学学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(614)马克思主义哲学原理                 ,(811)西方哲学史                 
(10108)山西大学,统考,(001)哲学社会学学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(614)马克思主义哲学原理                 ,(811)西方哲学史                 
(10108)山西大学,统考,(001)哲学社会学学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(614)马克思主义哲学原理                 ,(811)西方哲学史                 
(10108)山西大学,统考,(002)科学技术哲学研究中心,(010108)科学技术哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(614)马克思主义哲学原理                 ,(813)科学技术哲学（含自然辩证法）                 
(10108)山西大学,统考,(002)科学技术哲学研究中心,(010108)科学技术哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(614)马克思主义哲学原理                 ,(813)科学技术哲学（含自然辩证法）                 
(10108)山西大学,统考,(002)科学技术哲学研究中心,(010108)科学技术哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(614)马克思主义哲学原理                 ,(813)科学技术哲学（含自然辩证法）                 
(10108)山西大学,统考,(002)科学技术哲学研究中心,(010108)科学技术哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(614)马克思主义哲学原理                 ,(813)科学技术哲学（含自然辩证法）                 
(10118)山西师范大学,统考,(018)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(625)马克思主义哲学                 ,(829)哲学综合（含西方哲学史、中国哲学史）                 
(10118)山西师范大学,统考,(018)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(625)马克思主义哲学                 ,(829)哲学综合（含西方哲学史、中国哲学史）                 
(10118)山西师范大学,统考,(018)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(625)马克思主义哲学                 ,(829)哲学综合（含西方哲学史、中国哲学史）                 
(10108)山西大学,统考,(003)经济与管理学院,(020101)政治经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(814)西方经济学                 
(10108)山西大学,统考,(003)经济与管理学院,(020103)经济史,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(814)西方经济学                 
(10108)山西大学,统考,(003)经济与管理学院,(020104)西方经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(814)西方经济学                 
(10108)山西大学,统考,(003)经济与管理学院,(020105)世界经济,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(814)西方经济学                 
(10108)山西大学,统考,(003)经济与管理学院,(020106)人口、资源与环境经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(814)西方经济学                 
(10109)太原科技大学,统考,(016)经济与管理学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(834)西方经济学                 
(10109)太原科技大学,统考,(016)经济与管理学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(834)西方经济学                 
(10109)太原科技大学,统考,(016)经济与管理学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(834)西方经济学                 
(10109)太原科技大学,统考,(016)经济与管理学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(834)西方经济学                 
(10125)山西财经大学,统考,(001)经济学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学                 
(10125)山西财经大学,统考,(001)经济学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学                 
(10125)山西财经大学,统考,(001)经济学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学                 
(10125)山西财经大学,统考,(001)经济学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学                 
(10125)山西财经大学,统考,(001)经济学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学                 
(10125)山西财经大学,统考,(001)经济学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学                 
(10118)山西师范大学,统考,(001)经济与管理学院,(020200)应用经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)西方经济学                 
(10118)山西师范大学,统考,(001)经济与管理学院,(020200)应用经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)西方经济学                 
(10118)山西师范大学,统考,(001)经济与管理学院,(020200)应用经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)西方经济学                 
(10118)山西师范大学,统考,(001)经济与管理学院,(020200)应用经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)西方经济学                 
(10118)山西师范大学,统考,(001)经济与管理学院,(020200)应用经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)西方经济学                 
(10125)山西财经大学,统考,(003)金融学院,(020204)金融学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学                 
(10125)山西财经大学,统考,(003)金融学院,(020204)金融学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学                 
