学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10558)中山大学,统考,(113)哲学系,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(616)外国哲学史基础                 ,(805)马克思主义哲学                 
(10558)中山大学,统考,(113)哲学系,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(616)外国哲学史基础                 ,(808)中国哲学史基础                 
(10558)中山大学,统考,(113)哲学系,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(616)外国哲学史基础                 ,(808)中国哲学史基础                 
(10558)中山大学,统考,(113)哲学系,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(615)逻辑学基础                 ,(806)逻辑学概论                 
(10558)中山大学,统考,(113)哲学系,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(616)外国哲学史基础                 ,(808)中国哲学史基础                 
(10558)中山大学,统考,(113)哲学系,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(616)外国哲学史基础                 ,(808)中国哲学史基础                 
(10558)中山大学,统考,(113)哲学系,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(616)外国哲学史基础                 ,(808)中国哲学史基础                 
(10558)中山大学,统考,(113)哲学系,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(616)外国哲学史基础                 ,(807)科学哲学基础                 
(10558)中山大学,统考,(113)哲学系,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(616)外国哲学史基础                 ,(808)中国哲学史基础                 
(10558)中山大学,统考,(242)博雅学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(616)外国哲学史基础                 ,(808)中国哲学史基础                 
(10558)中山大学,统考,(721)哲学系（珠海）,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(616)外国哲学史基础                 ,(808)中国哲学史基础                 
(10558)中山大学,统考,(721)哲学系（珠海）,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(616)外国哲学史基础                 ,(808)中国哲学史基础                 
(10558)中山大学,统考,(721)哲学系（珠海）,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(615)逻辑学基础                 ,(806)逻辑学概论                 
(10558)中山大学,统考,(721)哲学系（珠海）,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(616)外国哲学史基础                 ,(808)中国哲学史基础                 
(10558)中山大学,统考,(721)哲学系（珠海）,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(616)外国哲学史基础                 ,(808)中国哲学史基础                 
(10558)中山大学,统考,(721)哲学系（珠海）,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(616)外国哲学史基础                 ,(808)中国哲学史基础                 
(10558)中山大学,统考,(721)哲学系（珠海）,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(616)外国哲学史基础                 ,(807)科学哲学基础                 
(10559)暨南大学,统考,(006)文学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(734)哲学基础                 ,(849)哲学原典与写作                 
(10559)暨南大学,统考,(006)文学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(734)哲学基础                 ,(849)哲学原典与写作                 
(10559)暨南大学,统考,(006)文学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(734)哲学基础                 ,(849)哲学原典与写作                 
(10559)暨南大学,统考,(006)文学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(734)哲学基础                 ,(849)哲学原典与写作                 
(10572)广州中医药大学,统考,(206)马克思主义学院,(010108)科学技术哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(774)马克思主义哲学原理                 ,(882)科学技术发展史                 
(10574)华南师范大学,统考,(001)哲学与社会发展学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)西方哲学史                 
(10574)华南师范大学,统考,(001)哲学与社会发展学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)西方哲学史                 
(10574)华南师范大学,统考,(001)哲学与社会发展学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)西方哲学史                 
(10574)华南师范大学,统考,(001)哲学与社会发展学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)西方哲学史                 
(10574)华南师范大学,统考,(001)哲学与社会发展学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)西方哲学史                 
(10574)华南师范大学,统考,(001)哲学与社会发展学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)西方哲学史                 
(10574)华南师范大学,统考,(001)哲学与社会发展学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)西方哲学史                 
(10574)华南师范大学,统考,(001)哲学与社会发展学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)西方哲学史                 
(10574)华南师范大学,统考,(001)哲学与社会发展学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)西方哲学史                 
(10574)华南师范大学,统考,(001)哲学与社会发展学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)西方哲学史                 
(10574)华南师范大学,统考,(001)哲学与社会发展学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)西方哲学史                 
(10574)华南师范大学,统考,(001)哲学与社会发展学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)西方哲学史                 
(10574)华南师范大学,统考,(001)哲学与社会发展学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)西方哲学史                 
(10574)华南师范大学,统考,(001)哲学与社会发展学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)西方哲学史                 
(10574)华南师范大学,统考,(001)哲学与社会发展学院,(010104)逻辑学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)西方哲学史                 
