学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10593)广西大学,统考,(020)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学                 ,(801)中西哲学史                 
(10602)广西师范大学,统考,(003)文学院/新闻与传播学院,(010106)美学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(619)美学原理                 ,(811)西方哲学史                 
(10602)广西师范大学,统考,(020)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(811)西方哲学史                 
(10602)广西师范大学,统考,(020)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(811)西方哲学史                 
(10602)广西师范大学,统考,(020)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(811)西方哲学史                 
(10602)广西师范大学,统考,(020)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(811)西方哲学史                 
(10602)广西师范大学,统考,(020)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(811)西方哲学史                 
(10595)桂林电子科技大学,统考,(005)商学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(810)经济学                 
(10595)桂林电子科技大学,统考,(005)商学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(810)经济学                 
(10595)桂林电子科技大学,统考,(005)商学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(810)经济学                 
(10595)桂林电子科技大学,统考,(005)商学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(810)经济学                 
(10602)广西师范大学,统考,(013)经济管理学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(817)经济学综合                 
