学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10755)新疆大学,统考,(101)马克思主义学院（铸牢中华民族共同体意识研究基地）,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)马克思主义哲学经典著作                 
(10755)新疆大学,统考,(101)马克思主义学院（铸牢中华民族共同体意识研究基地）,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)马克思主义哲学经典著作                 
(10755)新疆大学,统考,(101)马克思主义学院（铸牢中华民族共同体意识研究基地）,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)马克思主义哲学经典著作                 
(10755)新疆大学,统考,(101)马克思主义学院（铸牢中华民族共同体意识研究基地）,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)马克思主义哲学经典著作                 
(10762)新疆师范大学,统考,(003)政法学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(703)马克思主义哲学原理                 ,(804)西方哲学史                 
(10762)新疆师范大学,统考,(003)政法学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(703)马克思主义哲学原理                 ,(804)西方哲学史                 
(10762)新疆师范大学,统考,(003)政法学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(703)马克思主义哲学原理                 ,(804)西方哲学史                 
(10762)新疆师范大学,统考,(003)政法学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(703)马克思主义哲学原理                 ,(804)西方哲学史                 
(10762)新疆师范大学,统考,(003)政法学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(703)马克思主义哲学原理                 ,(804)西方哲学史                 
(10762)新疆师范大学,统考,(003)政法学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(703)马克思主义哲学原理                 ,(804)西方哲学史                 
(10762)新疆师范大学,统考,(003)政法学院,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(703)马克思主义哲学原理                 ,(804)西方哲学史                 
(10762)新疆师范大学,统考,(003)政法学院,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(703)马克思主义哲学原理                 ,(804)西方哲学史                 
(10755)新疆大学,统考,(103)经济与管理学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(806)经济学基础                 
(10755)新疆大学,统考,(103)经济与管理学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(806)经济学基础                 
(10755)新疆大学,统考,(103)经济与管理学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(806)经济学基础                 
(10755)新疆大学,统考,(103)经济与管理学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(806)经济学基础                 
(10766)新疆财经大学,统考,(034)经济学院,(020101)政治经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学                 
(10766)新疆财经大学,统考,(034)经济学院,(020101)政治经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学                 
(10766)新疆财经大学,统考,(034)经济学院,(020101)政治经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学                 
(10766)新疆财经大学,统考,(034)经济学院,(020104)西方经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学                 
(10766)新疆财经大学,统考,(034)经济学院,(020104)西方经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学                 
(10766)新疆财经大学,统考,(034)经济学院,(020104)西方经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学                 
(10766)新疆财经大学,统考,(034)经济学院,(020105)世界经济,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学                 
(10766)新疆财经大学,统考,(034)经济学院,(020105)世界经济,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学                 
(10766)新疆财经大学,统考,(034)经济学院,(020105)世界经济,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学                 
(10766)新疆财经大学,统考,(034)经济学院,(020106)人口、资源与环境经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学                 
(10766)新疆财经大学,统考,(034)经济学院,(020106)人口、资源与环境经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学                 
(10766)新疆财经大学,统考,(034)经济学院,(020106)人口、资源与环境经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学                 
(10755)新疆大学,统考,(103)经济与管理学院,(020207)劳动经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(806)经济学基础                 
(10755)新疆大学,统考,(103)经济与管理学院,(020207)劳动经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(806)经济学基础                 
(10755)新疆大学,统考,(103)经济与管理学院,(020207)劳动经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(806)经济学基础                 
(10758)新疆农业大学,统考,(021)经济管理学院,(020200)应用经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(853)经济学                 
