学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10284)南京大学,统考,(001)哲学系,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(673)哲学综合                 ,(911)马克思主义哲学史（含原著）                 
(10284)南京大学,统考,(001)哲学系,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(673)哲学综合                 ,(911)马克思主义哲学史（含原著）                 
(10284)南京大学,统考,(001)哲学系,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(673)哲学综合                 ,(911)马克思主义哲学史（含原著）                 
(10284)南京大学,统考,(001)哲学系,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(673)哲学综合                 ,(911)马克思主义哲学史（含原著）                 
(10284)南京大学,统考,(001)哲学系,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(673)哲学综合                 ,(911)马克思主义哲学史（含原著）                 
(10284)南京大学,统考,(001)哲学系,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(673)哲学综合                 ,(911)马克思主义哲学史（含原著）                 
(10284)南京大学,统考,(001)哲学系,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(673)哲学综合                 ,(911)马克思主义哲学史（含原著）                 
(10284)南京大学,统考,(001)哲学系,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(673)哲学综合                 ,(998)中国哲学原著与东方宗教                 
(10284)南京大学,统考,(001)哲学系,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(673)哲学综合                 ,(998)中国哲学原著与东方宗教                 
(10284)南京大学,统考,(001)哲学系,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(673)哲学综合                 ,(998)中国哲学原著与东方宗教                 
(10284)南京大学,统考,(001)哲学系,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(673)哲学综合                 ,(998)中国哲学原著与东方宗教                 
(10284)南京大学,统考,(001)哲学系,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(673)哲学综合                 ,(998)中国哲学原著与东方宗教                 
(10284)南京大学,统考,(001)哲学系,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(673)哲学综合                 ,(998)中国哲学原著与东方宗教                 
(10284)南京大学,统考,(001)哲学系,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(673)哲学综合                 ,(913)现代西方哲学                 
(10284)南京大学,统考,(001)哲学系,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(673)哲学综合                 ,(913)现代西方哲学                 
(10284)南京大学,统考,(001)哲学系,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(673)哲学综合                 ,(913)现代西方哲学                 
(10284)南京大学,统考,(001)哲学系,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(673)哲学综合                 ,(913)现代西方哲学                 
(10284)南京大学,统考,(001)哲学系,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(673)哲学综合                 ,(913)现代西方哲学                 
(10284)南京大学,统考,(001)哲学系,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(673)哲学综合                 ,(913)现代西方哲学                 
(10284)南京大学,统考,(001)哲学系,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(673)哲学综合                 ,(913)现代西方哲学                 
(10284)南京大学,统考,(001)哲学系,(010104)逻辑学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(673)哲学综合                 ,(914)形式逻辑基础                 
(10284)南京大学,统考,(001)哲学系,(010104)逻辑学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(673)哲学综合                 ,(914)形式逻辑基础                 
(10284)南京大学,统考,(001)哲学系,(010104)逻辑学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(673)哲学综合                 ,(914)形式逻辑基础                 
(10284)南京大学,统考,(001)哲学系,(010104)逻辑学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(673)哲学综合                 ,(914)形式逻辑基础                 
