学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10403)南昌大学,统考,(003)人文学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(622)哲学原理                 ,(919)中外哲学史                 
(10403)南昌大学,统考,(003)人文学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(622)哲学原理                 ,(919)中外哲学史                 
(10403)南昌大学,统考,(003)人文学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(622)哲学原理                 ,(919)中外哲学史                 
(10403)南昌大学,统考,(003)人文学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(622)哲学原理                 ,(919)中外哲学史                 
(10403)南昌大学,统考,(003)人文学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(622)哲学原理                 ,(919)中外哲学史                 
(10403)南昌大学,统考,(003)人文学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(622)哲学原理                 ,(919)中外哲学史                 
(10408)景德镇陶瓷大学,统考,(008)马克思主义学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(707)哲学综合（以马哲、西哲为主）                 ,(804)中国哲学史                 
(10408)景德镇陶瓷大学,统考,(008)马克思主义学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(707)哲学综合（以马哲、西哲为主）                 ,(804)中国哲学史                 
(10408)景德镇陶瓷大学,统考,(008)马克思主义学院,(010106)美学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(707)哲学综合（以马哲、西哲为主）                 ,(804)中国哲学史                 
(10408)景德镇陶瓷大学,统考,(008)马克思主义学院,(0101J1)体育艺术与审美,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(707)哲学综合（以马哲、西哲为主）                 ,(804)中国哲学史                 
(10408)景德镇陶瓷大学,统考,(008)马克思主义学院,(0101J1)体育艺术与审美,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(707)哲学综合（以马哲、西哲为主）                 ,(804)中国哲学史                 
(10414)江西师范大学,统考,(026)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)哲学导论                 
(10414)江西师范大学,统考,(026)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)哲学导论                 
(10414)江西师范大学,统考,(026)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)哲学导论                 
(10414)江西师范大学,统考,(026)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)哲学导论                 
(10403)南昌大学,统考,(002)经济管理学院,(020101)政治经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(857)西方经济学                 
(10403)南昌大学,统考,(002)经济管理学院,(020104)西方经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(857)西方经济学                 
(10403)南昌大学,统考,(002)经济管理学院,(020105)世界经济,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(857)西方经济学                 
(10403)南昌大学,统考,(002)经济管理学院,(020106)人口、资源与环境经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(857)西方经济学                 
(10421)江西财经大学,统考,(004)国际经贸学院,(020105)世界经济,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)经济学基础                 
(10421)江西财经大学,统考,(004)国际经贸学院,(020105)世界经济,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)经济学基础                 
(10421)江西财经大学,统考,(004)国际经贸学院,(020105)世界经济,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)经济学基础                 
(10421)江西财经大学,统考,(005)经济学院,(020101)政治经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)经济学基础                 
(10421)江西财经大学,统考,(005)经济学院,(020101)政治经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)经济学基础                 
(10421)江西财经大学,统考,(005)经济学院,(020101)政治经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)经济学基础                 
(10421)江西财经大学,统考,(005)经济学院,(020101)政治经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)经济学基础                 
(10421)江西财经大学,统考,(005)经济学院,(020101)政治经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)经济学基础                 
(10421)江西财经大学,统考,(005)经济学院,(020103)经济史,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)经济学基础                 
(10421)江西财经大学,统考,(005)经济学院,(020103)经济史,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)经济学基础                 
(10421)江西财经大学,统考,(005)经济学院,(020103)经济史,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)经济学基础                 
(10421)江西财经大学,统考,(005)经济学院,(020104)西方经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)经济学基础                 
(10421)江西财经大学,统考,(005)经济学院,(020104)西方经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)经济学基础                 
