学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10075)河北大学,统考,(001)哲学与社会学学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(642)马克思主义哲学原理                 ,(802)中西方哲学史                 
(10075)河北大学,统考,(001)哲学与社会学学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(642)马克思主义哲学原理                 ,(802)中西方哲学史                 
(10075)河北大学,统考,(001)哲学与社会学学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(642)马克思主义哲学原理                 ,(802)中西方哲学史                 
(10075)河北大学,统考,(001)哲学与社会学学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(642)马克思主义哲学原理                 ,(802)中西方哲学史                 
(10075)河北大学,统考,(001)哲学与社会学学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(642)马克思主义哲学原理                 ,(802)中西方哲学史                 
(10075)河北大学,统考,(001)哲学与社会学学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(642)马克思主义哲学原理                 ,(802)中西方哲学史                 
(10075)河北大学,统考,(001)哲学与社会学学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(642)马克思主义哲学原理                 ,(802)中西方哲学史                 
(10075)河北大学,统考,(001)哲学与社会学学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(642)马克思主义哲学原理                 ,(802)中西方哲学史                 
(10075)河北大学,统考,(001)哲学与社会学学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(642)马克思主义哲学原理                 ,(802)中西方哲学史                 
(10075)河北大学,统考,(001)哲学与社会学学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(642)马克思主义哲学原理                 ,(802)中西方哲学史                 
