学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10335)浙江大学,统考,(230)传媒与国际文化学院,(010106)美学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(705)哲学进展                 ,(807)中西哲学史                 
(10335)浙江大学,统考,(230)传媒与国际文化学院,(010106)美学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(706)中国语言文学综合知识                 ,(808)中国语言文学专业基础                 
(10335)浙江大学,统考,(440)哲学学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(705)哲学进展                 ,(807)中西哲学史                 
(10335)浙江大学,统考,(440)哲学学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(705)哲学进展                 ,(807)中西哲学史                 
(10335)浙江大学,统考,(440)哲学学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(705)哲学进展                 ,(807)中西哲学史                 
(10335)浙江大学,统考,(440)哲学学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(705)哲学进展                 ,(807)中西哲学史                 
(10335)浙江大学,统考,(440)哲学学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(705)哲学进展                 ,(807)中西哲学史                 
(10335)浙江大学,统考,(440)哲学学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(705)哲学进展                 ,(807)中西哲学史                 
(10335)浙江大学,统考,(440)哲学学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(705)哲学进展                 ,(807)中西哲学史                 
(10335)浙江大学,统考,(440)哲学学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(705)哲学进展                 ,(807)中西哲学史                 
(10337)浙江工业大学,统考,(023)马克思主义学院,(010108)科学技术哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(625)马克思主义哲学（辩证唯物主义）                 ,(877)科学方法论                 
(10346)杭州师范大学,统考,(002)公共管理学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(711)中国哲学史                 ,(812)西方哲学史                 
(10346)杭州师范大学,统考,(002)公共管理学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(711)中国哲学史                 ,(812)西方哲学史                 
(10346)杭州师范大学,统考,(002)公共管理学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(711)中国哲学史                 ,(812)西方哲学史                 
(10346)杭州师范大学,统考,(002)公共管理学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(711)中国哲学史                 ,(812)西方哲学史                 
(10346)杭州师范大学,统考,(002)公共管理学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(711)中国哲学史                 ,(812)西方哲学史                 
(10346)杭州师范大学,统考,(002)公共管理学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(711)中国哲学史                 ,(812)西方哲学史                 
(10346)杭州师范大学,统考,(002)公共管理学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(711)中国哲学史                 ,(812)西方哲学史                 
(10346)杭州师范大学,统考,(002)公共管理学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(711)中国哲学史                 ,(812)西方哲学史                 
(10346)杭州师范大学,统考,(002)公共管理学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(711)中国哲学史                 ,(812)西方哲学史                 
(10346)杭州师范大学,统考,(002)公共管理学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(711)中国哲学史                 ,(812)西方哲学史                 
(10346)杭州师范大学,统考,(002)公共管理学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(711)中国哲学史                 ,(812)西方哲学史                 
(10346)杭州师范大学,统考,(005)马克思主义学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(711)中国哲学史                 ,(812)西方哲学史                 
(10346)杭州师范大学,统考,(005)马克思主义学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(711)中国哲学史                 ,(812)西方哲学史                 
(10346)杭州师范大学,统考,(005)马克思主义学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(711)中国哲学史                 ,(812)西方哲学史                 
(10356)中国计量大学,统考,(590)人文与外语学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(716)中国哲学史                 ,(816)西方哲学史                 
(10356)中国计量大学,统考,(590)人文与外语学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(716)中国哲学史                 ,(816)西方哲学史                 
(10356)中国计量大学,统考,(590)人文与外语学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(716)中国哲学史                 ,(816)西方哲学史                 
(10356)中国计量大学,统考,(590)人文与外语学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(716)中国哲学史                 ,(816)西方哲学史                 
(11482)浙江财经大学,统考,(012)马克思主义学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(901)伦理学原理                 
(11482)浙江财经大学,统考,(012)马克思主义学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(901)伦理学原理                 
(11482)浙江财经大学,统考,(012)马克思主义学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(901)伦理学原理                 
(11482)浙江财经大学,统考,(012)马克思主义学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(901)伦理学原理                 
(89633)中共浙江省委党校,统考,(000)不区分院系所,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理(含原著)                 ,(801)中国哲学                 
(89633)中共浙江省委党校,统考,(000)不区分院系所,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理(含原著)                 ,(801)中国哲学                 
(89633)中共浙江省委党校,统考,(000)不区分院系所,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理(含原著)                 ,(801)中国哲学                 
(10335)浙江大学,统考,(010)经济学院,(020101)政治经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学综合                 
(10335)浙江大学,统考,(010)经济学院,(020102)经济思想史,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学综合                 
(10335)浙江大学,统考,(010)经济学院,(020103)经济史,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学综合                 
(10335)浙江大学,统考,(010)经济学院,(020104)西方经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学综合                 
(10335)浙江大学,统考,(010)经济学院,(020105)世界经济,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学综合                 
(10335)浙江大学,统考,(010)经济学院,(020106)人口、资源与环境经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学综合                 
(10353)浙江工商大学,统考,(002)经济学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(811)西方经济学                 
(11482)浙江财经大学,统考,(007)经济学院,(020101)政治经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(811)经济学                 
(11482)浙江财经大学,统考,(007)经济学院,(020101)政治经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(811)经济学                 
(11482)浙江财经大学,统考,(007)经济学院,(020103)经济史,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(811)经济学                 
(11482)浙江财经大学,统考,(007)经济学院,(020103)经济史,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(811)经济学                 
(11482)浙江财经大学,统考,(007)经济学院,(020103)经济史,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(811)经济学                 
(11482)浙江财经大学,统考,(007)经济学院,(020104)西方经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(811)经济学                 
(11482)浙江财经大学,统考,(007)经济学院,(020104)西方经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(811)经济学                 
(11482)浙江财经大学,统考,(007)经济学院,(020104)西方经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(811)经济学                 
(11482)浙江财经大学,统考,(007)经济学院,(020104)西方经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(811)经济学                 
