学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10589)海南大学,统考,(023)人文学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(610)中国哲学史                 ,(810)西方哲学史                 
(10589)海南大学,统考,(023)人文学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(610)中国哲学史                 ,(810)西方哲学史                 
(10589)海南大学,统考,(023)人文学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(610)中国哲学史                 ,(810)西方哲学史                 
(10589)海南大学,统考,(023)人文学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(610)中国哲学史                 ,(810)西方哲学史                 
(11658)海南师范大学,统考,(018)经济与管理学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学综合                 
(11658)海南师范大学,统考,(018)经济与管理学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学综合                 
(11658)海南师范大学,统考,(018)经济与管理学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(801)经济学综合                 
(10589)海南大学,统考,(017)经济学院,(020200)应用经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(813)综合考试（含微观、宏观                 
(10589)海南大学,统考,(017)经济学院,(020200)应用经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(813)综合考试（含微观、宏观                 
(10589)海南大学,统考,(017)经济学院,(020200)应用经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(813)综合考试（含微观、宏观                 
(10589)海南大学,统考,(017)经济学院,(020200)应用经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(813)综合考试（含微观、宏观                 
(10589)海南大学,统考,(017)经济学院,(020200)应用经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(813)综合考试（含微观、宏观                 
