学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10530)湘潭大学,统考,(027)碧泉书院·哲学与历史文化学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学                 ,(804)中西哲学史                 
(10530)湘潭大学,统考,(027)碧泉书院·哲学与历史文化学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学                 ,(804)中西哲学史                 
(10530)湘潭大学,统考,(027)碧泉书院·哲学与历史文化学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学                 ,(804)中西哲学史                 
(10530)湘潭大学,统考,(027)碧泉书院·哲学与历史文化学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学                 ,(804)中西哲学史                 
(10530)湘潭大学,统考,(027)碧泉书院·哲学与历史文化学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学                 ,(804)中西哲学史                 
(10530)湘潭大学,统考,(027)碧泉书院·哲学与历史文化学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学                 ,(804)中西哲学史                 
(10532)湖南大学,统考,(015)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(708)西方哲学史                 ,(841)马克思主义哲学原理                 
(10532)湖南大学,统考,(015)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(708)西方哲学史                 ,(841)马克思主义哲学原理                 
(10532)湖南大学,统考,(016)岳麓书院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(708)西方哲学史                 ,(843)中国哲学史                 
(10532)湖南大学,统考,(016)岳麓书院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(708)西方哲学史                 ,(843)中国哲学史                 
(10532)湖南大学,统考,(016)岳麓书院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(708)西方哲学史                 ,(843)中国哲学史                 
(10533)中南大学,统考,(005)中国村落文化研究中心,(0101Z4)人类文化遗产学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(726)中国古代思想与文化史                 ,(907)中国文化遗产学                 
(10533)中南大学,统考,(010)文学与新闻传播学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(725)马克思主义哲学基本原理                 ,(904)中西哲学史                 
(10533)中南大学,统考,(010)文学与新闻传播学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(725)马克思主义哲学基本原理                 ,(904)中西哲学史                 
(10533)中南大学,统考,(010)文学与新闻传播学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(725)马克思主义哲学基本原理                 ,(904)中西哲学史                 
(10533)中南大学,统考,(010)文学与新闻传播学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(725)马克思主义哲学基本原理                 ,(904)中西哲学史                 
(10533)中南大学,统考,(010)文学与新闻传播学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(725)马克思主义哲学基本原理                 ,(904)中西哲学史                 
(10533)中南大学,统考,(010)文学与新闻传播学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(725)马克思主义哲学基本原理                 ,(904)中西哲学史                 
(10533)中南大学,统考,(010)文学与新闻传播学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(725)马克思主义哲学基本原理                 ,(904)中西哲学史                 
(10533)中南大学,统考,(010)文学与新闻传播学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(725)马克思主义哲学基本原理                 ,(904)中西哲学史                 
(10534)湖南科技大学,统考,(013)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(617)马克思主义哲学原理                 ,(838)西方哲学史                 
(10534)湖南科技大学,统考,(013)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(617)马克思主义哲学原理                 ,(838)西方哲学史                 
(10534)湖南科技大学,统考,(013)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(617)马克思主义哲学原理                 ,(838)西方哲学史                 
(10534)湖南科技大学,统考,(013)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(617)马克思主义哲学原理                 ,(838)西方哲学史                 
(10536)长沙理工大学,统考,(012)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(705)马克思主义哲学原理                 ,(804)西方哲学史                 
(10536)长沙理工大学,统考,(012)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(705)马克思主义哲学原理                 ,(804)西方哲学史                 
(10536)长沙理工大学,统考,(012)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(705)马克思主义哲学原理                 ,(804)西方哲学史                 
(10536)长沙理工大学,统考,(012)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(705)马克思主义哲学原理                 ,(804)西方哲学史                 
(10536)长沙理工大学,统考,(012)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(705)马克思主义哲学原理                 ,(804)西方哲学史                 
(10542)湖南师范大学,统考,(002)公共管理学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学原理                 ,(803)中西哲学史                 
(10542)湖南师范大学,统考,(002)公共管理学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学原理                 ,(803)中西哲学史                 
(10542)湖南师范大学,统考,(002)公共管理学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学原理                 ,(803)中西哲学史                 
(10542)湖南师范大学,统考,(002)公共管理学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学原理                 ,(803)中西哲学史                 
(10542)湖南师范大学,统考,(002)公共管理学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学原理                 ,(803)中西哲学史                 
(10542)湖南师范大学,统考,(002)公共管理学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学原理                 ,(803)中西哲学史                 
(10542)湖南师范大学,统考,(002)公共管理学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学原理                 ,(803)中西哲学史                 
(10542)湖南师范大学,统考,(002)公共管理学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学原理                 ,(803)中西哲学史                 
(10555)南华大学,统考,(001)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学                 ,(801)中西方哲学简史                 
(10555)南华大学,统考,(001)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学                 ,(801)中西方哲学简史                 
(10555)南华大学,统考,(001)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学                 ,(801)中西方哲学简史                 
(10555)南华大学,统考,(001)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学                 ,(801)中西方哲学简史                 
(89643)中共湖南省委党校,统考,(001)哲学教研部,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(620)马克思主义哲学原理                 ,(801)西方哲学史                 
(89643)中共湖南省委党校,统考,(001)哲学教研部,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(620)马克思主义哲学原理                 ,(801)西方哲学史                 
(89643)中共湖南省委党校,统考,(001)哲学教研部,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(620)马克思主义哲学原理                 ,(801)西方哲学史                 
(89643)中共湖南省委党校,统考,(001)哲学教研部,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(620)马克思主义哲学原理                 ,(801)西方哲学史                 
(89643)中共湖南省委党校,统考,(002)科技与生态文明教研部,(010108)科学技术哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(620)马克思主义哲学原理                 ,(801)西方哲学史                 
(89643)中共湖南省委党校,统考,(002)科技与生态文明教研部,(010108)科学技术哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(620)马克思主义哲学原理                 ,(801)西方哲学史                 
(89643)中共湖南省委党校,统考,(002)科技与生态文明教研部,(010108)科学技术哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(620)马克思主义哲学原理                 ,(801)西方哲学史                 
(10530)湘潭大学,统考,(004)商学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(806)西方经济学                 
(10530)湘潭大学,统考,(004)商学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(806)西方经济学                 
(10530)湘潭大学,统考,(004)商学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(806)西方经济学                 
