学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10730)兰州大学,统考,(064)哲学社会学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(634)西方哲学史                 ,(836)中国哲学史                 
(10730)兰州大学,统考,(064)哲学社会学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(634)西方哲学史                 ,(836)中国哲学史                 
(10730)兰州大学,统考,(064)哲学社会学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(634)西方哲学史                 ,(836)中国哲学史                 
(10730)兰州大学,统考,(064)哲学社会学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(634)西方哲学史                 ,(836)中国哲学史                 
(10736)西北师范大学,统考,(026)哲学学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(801)中西哲学史                 
(10736)西北师范大学,统考,(026)哲学学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(801)中西哲学史                 
(10736)西北师范大学,统考,(026)哲学学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(801)中西哲学史                 
(10736)西北师范大学,统考,(026)哲学学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(801)中西哲学史                 
(10736)西北师范大学,统考,(026)哲学学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(801)中西哲学史                 
(10736)西北师范大学,统考,(026)哲学学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(801)中西哲学史                 
(10736)西北师范大学,统考,(026)哲学学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(801)中西哲学史                 
(10736)西北师范大学,统考,(026)哲学学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(801)中西哲学史                 
(10736)西北师范大学,统考,(026)哲学学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(801)中西哲学史                 
(10736)西北师范大学,统考,(026)哲学学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(801)中西哲学史                 
(10736)西北师范大学,统考,(026)哲学学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(801)中西哲学史                 
(10736)西北师范大学,统考,(026)哲学学院,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)马克思主义哲学原理                 ,(801)中西哲学史                 
(10730)兰州大学,统考,(068)经济学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(841)政治经济学（资、社）                 
(10730)兰州大学,统考,(068)经济学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(841)政治经济学（资、社）                 
