学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10384)厦门大学,统考,(013)哲学系,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学基础理论                 ,(803)中西哲学史                 
(10384)厦门大学,统考,(013)哲学系,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学基础理论                 ,(803)中西哲学史                 
(10384)厦门大学,统考,(013)哲学系,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学基础理论                 ,(803)中西哲学史                 
(10384)厦门大学,统考,(013)哲学系,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学基础理论                 ,(803)中西哲学史                 
(10384)厦门大学,统考,(013)哲学系,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学基础理论                 ,(803)中西哲学史                 
(10384)厦门大学,统考,(013)哲学系,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学基础理论                 ,(803)中西哲学史                 
(10384)厦门大学,统考,(013)哲学系,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学基础理论                 ,(803)中西哲学史                 
(10384)厦门大学,统考,(013)哲学系,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学基础理论                 ,(803)中西哲学史                 
(10384)厦门大学,统考,(013)哲学系,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学基础理论                 ,(803)中西哲学史                 
(10384)厦门大学,统考,(013)哲学系,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学基础理论                 ,(803)中西哲学史                 
(10384)厦门大学,统考,(013)哲学系,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学基础理论                 ,(803)中西哲学史                 
(10384)厦门大学,统考,(013)哲学系,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学基础理论                 ,(803)中西哲学史                 
(10384)厦门大学,统考,(013)哲学系,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学基础理论                 ,(803)中西哲学史                 
(10384)厦门大学,统考,(013)哲学系,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学基础理论                 ,(803)中西哲学史                 
(10384)厦门大学,统考,(013)哲学系,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学基础理论                 ,(803)中西哲学史                 
(10384)厦门大学,统考,(013)哲学系,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学基础理论                 ,(803)中西哲学史                 
(10384)厦门大学,统考,(013)哲学系,(010104)逻辑学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学基础理论                 ,(803)中西哲学史                 
(10384)厦门大学,统考,(013)哲学系,(010104)逻辑学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学基础理论                 ,(803)中西哲学史                 
(10384)厦门大学,统考,(013)哲学系,(010104)逻辑学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学基础理论                 ,(803)中西哲学史                 
(10384)厦门大学,统考,(013)哲学系,(010104)逻辑学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学基础理论                 ,(803)中西哲学史                 
(10384)厦门大学,统考,(013)哲学系,(010104)逻辑学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学基础理论                 ,(803)中西哲学史                 
(10384)厦门大学,统考,(013)哲学系,(010104)逻辑学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学基础理论                 ,(803)中西哲学史                 
(10384)厦门大学,统考,(013)哲学系,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学基础理论                 ,(803)中西哲学史                 
(10384)厦门大学,统考,(013)哲学系,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(702)哲学基础理论                 ,(803)中西哲学史                 
