学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10695)西藏民族大学,统考,(011)马克思主义学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)中国哲学史                 ,(821)马克思主义哲学基本原理                 
(10695)西藏民族大学,统考,(011)马克思主义学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)中国哲学史                 ,(821)马克思主义哲学基本原理                 
(10695)西藏民族大学,统考,(011)马克思主义学院,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)中国哲学史                 ,(821)马克思主义哲学基本原理                 
(10694)西藏大学,统考,(006)经济与管理学院,(020202)区域经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(847)经济学基础                 
(10694)西藏大学,统考,(006)经济与管理学院,(020205)产业经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(847)经济学基础                 
(10694)西藏大学,统考,(006)经济与管理学院,(020206)国际贸易学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(847)经济学基础                 
(10694)西藏大学,统考,(010)财经学院,(020203)财政学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(856)经济学综合                 
(10694)西藏大学,统考,(010)财经学院,(020204)金融学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(856)经济学综合                 
(10695)西藏民族大学,统考,(008)财经学院,(020203)财政学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(923)西方经济学                 
(10695)西藏民族大学,统考,(008)财经学院,(020205)产业经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(923)西方经济学                 
(10695)西藏民族大学,统考,(008)财经学院,(020208)统计学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(923)西方经济学                 
(10694)西藏大学,统考,(010)财经学院,(025100)(专业学位)金融,不区分方向,                (101)思想政治理论                ,(204)英语（二）                 ,(396)经济类综合能力                 ,(431)金融学综合                 
(10695)西藏民族大学,统考,(008)财经学院,(025100)(专业学位)金融,不区分方向,                (101)思想政治理论                ,(204)英语（二）                 ,(396)经济类综合能力                 ,(431)金融学综合                 
(10695)西藏民族大学,统考,(008)财经学院,(025100)(专业学位)金融,不区分方向,                (101)思想政治理论                ,(204)英语（二）                 ,(396)经济类综合能力                 ,(431)金融学综合                 
(10695)西藏民族大学,统考,(008)财经学院,(025300)(专业学位)税务,不区分方向,                (101)思想政治理论                ,(204)英语（二）                 ,(396)经济类综合能力                 ,(433)税务专业基础                 
(10695)西藏民族大学,统考,(008)财经学院,(025300)(专业学位)税务,不区分方向,                (101)思想政治理论                ,(204)英语（二）                 ,(396)经济类综合能力                 ,(433)税务专业基础                 
(10694)西藏大学,统考,(007)政法学院,(030101)法学理论,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(632)法理学                 ,(850)法学概论                 
(10694)西藏大学,统考,(007)政法学院,(030101)法学理论,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(632)法理学                 ,(850)法学概论                 
(10694)西藏大学,统考,(007)政法学院,(030101)法学理论,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(632)法理学                 ,(850)法学概论                 
(10694)西藏大学,统考,(007)政法学院,(030103)宪法学与行政法学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(632)法理学                 ,(850)法学概论                 
(10694)西藏大学,统考,(007)政法学院,(030103)宪法学与行政法学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(632)法理学                 ,(850)法学概论                 
(10694)西藏大学,统考,(007)政法学院,(030103)宪法学与行政法学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(632)法理学                 ,(850)法学概论                 
(10694)西藏大学,统考,(007)政法学院,(030105)民商法学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(632)法理学                 ,(850)法学概论                 
(10694)西藏大学,统考,(007)政法学院,(030105)民商法学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(632)法理学                 ,(850)法学概论                 
(10694)西藏大学,统考,(007)政法学院,(030105)民商法学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(632)法理学                 ,(850)法学概论                 
(10694)西藏大学,统考,(007)政法学院,(030105)民商法学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(632)法理学                 ,(850)法学概论                 
(10694)西藏大学,统考,(007)政法学院,(030105)民商法学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(632)法理学                 ,(850)法学概论                 
(10694)西藏大学,统考,(007)政法学院,(030108)环境与资源保护法学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(632)法理学                 ,(850)法学概论                 
(10694)西藏大学,统考,(007)政法学院,(030108)环境与资源保护法学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(632)法理学                 ,(850)法学概论                 
(10694)西藏大学,统考,(007)政法学院,(030108)环境与资源保护法学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(632)法理学                 ,(850)法学概论                 
(10694)西藏大学,统考,(007)政法学院,(030108)环境与资源保护法学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(632)法理学                 ,(850)法学概论                 
(10694)西藏大学,统考,(007)政法学院,(030108)环境与资源保护法学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(632)法理学                 ,(850)法学概论                 
(10695)西藏民族大学,统考,(002)法学院,(030103)宪法学与行政法学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(671)法学基础                 ,(851)法学综合                 
(10695)西藏民族大学,统考,(002)法学院,(030105)民商法学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(671)法学基础                 ,(851)法学综合                 
(10695)西藏民族大学,统考,(002)法学院,(030106)诉讼法学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(671)法学基础                 ,(851)法学综合                 
(10695)西藏民族大学,统考,(002)法学院,(030107)经济法学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(671)法学基础                 ,(851)法学综合                 
(10694)西藏大学,统考,(001)文学院,(030401)民族学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)现代汉语与藏语文（各占50%）（一）                 ,(801)民族学（藏学）                 
(10694)西藏大学,统考,(001)文学院,(030401)民族学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)现代汉语与藏语文（各占50%）（一）                 ,(801)民族学（藏学）                 
(10694)西藏大学,统考,(001)文学院,(030401)民族学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)现代汉语与藏语文（各占50%）（一）                 ,(801)民族学（藏学）                 
(10694)西藏大学,统考,(001)文学院,(030401)民族学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)现代汉语与藏语文（各占50%）（一）                 ,(801)民族学（藏学）                 
(10694)西藏大学,统考,(001)文学院,(030404)中国少数民族史,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)现代汉语与藏语文（各占50%）（一）                 ,(802)藏族历史                 
(10694)西藏大学,统考,(001)文学院,(030404)中国少数民族史,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)现代汉语与藏语文（各占50%）（一）                 ,(802)藏族历史                 
(10694)西藏大学,统考,(001)文学院,(030404)中国少数民族史,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)现代汉语与藏语文（各占50%）（一）                 ,(802)藏族历史                 
(10694)西藏大学,统考,(001)文学院,(030404)中国少数民族史,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)现代汉语与藏语文（各占50%）（一）                 ,(802)藏族历史                 
