学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10657)贵州大学,统考,(138)哲学与社会发展学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(610)哲学综合知识                 ,(801)中西哲学史                 
(10657)贵州大学,统考,(138)哲学与社会发展学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(610)哲学综合知识                 ,(801)中西哲学史                 
(10657)贵州大学,统考,(138)哲学与社会发展学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(610)哲学综合知识                 ,(801)中西哲学史                 
(10657)贵州大学,统考,(138)哲学与社会发展学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(610)哲学综合知识                 ,(801)中西哲学史                 
(10657)贵州大学,统考,(138)哲学与社会发展学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(610)哲学综合知识                 ,(801)中西哲学史                 
(10657)贵州大学,统考,(138)哲学与社会发展学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(610)哲学综合知识                 ,(801)中西哲学史                 
(10657)贵州大学,统考,(138)哲学与社会发展学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(610)哲学综合知识                 ,(801)中西哲学史                 
(10657)贵州大学,统考,(138)哲学与社会发展学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(610)哲学综合知识                 ,(801)中西哲学史                 
(10663)贵州师范大学,统考,(001)历史与政治学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(711)马克思主义哲学原理                 ,(811)西方哲学史                 
(10663)贵州师范大学,统考,(001)历史与政治学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(711)马克思主义哲学原理                 ,(811)西方哲学史                 
(10663)贵州师范大学,统考,(001)历史与政治学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(711)马克思主义哲学原理                 ,(811)西方哲学史                 
(10976)贵阳学院,统考,(001)阳明学与黔学研究院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(711)马克思主义哲学                 ,(811)中西哲学史                 
(10976)贵阳学院,统考,(001)阳明学与黔学研究院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(711)马克思主义哲学                 ,(811)中西哲学史                 
