学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10140)辽宁大学,统考,(001)哲学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)哲学史                 ,(811)哲学基础理论                 
(10140)辽宁大学,统考,(001)哲学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)哲学史                 ,(811)哲学基础理论                 
(10140)辽宁大学,统考,(001)哲学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)哲学史                 ,(811)哲学基础理论                 
(10140)辽宁大学,统考,(001)哲学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(611)哲学史                 ,(811)哲学基础理论                 
(10141)大连理工大学,统考,(120)（主校区）人文与社会科学学部,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(621)马克思主义哲学原理                 ,(868)中西方哲学史                 
(10141)大连理工大学,统考,(120)（主校区）人文与社会科学学部,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(621)马克思主义哲学原理                 ,(868)中西方哲学史                 
(10141)大连理工大学,统考,(120)（主校区）人文与社会科学学部,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(621)马克思主义哲学原理                 ,(868)中西方哲学史                 
(10141)大连理工大学,统考,(120)（主校区）人文与社会科学学部,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(621)马克思主义哲学原理                 ,(868)中西方哲学史                 
(10141)大连理工大学,统考,(120)（主校区）人文与社会科学学部,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(621)马克思主义哲学原理                 ,(868)中西方哲学史                 
(10141)大连理工大学,统考,(120)（主校区）人文与社会科学学部,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(621)马克思主义哲学原理                 ,(868)中西方哲学史                 
(10141)大连理工大学,统考,(120)（主校区）人文与社会科学学部,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(621)马克思主义哲学原理                 ,(868)中西方哲学史                 
(10145)东北大学,统考,(015)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(612)哲学原理                 ,(800)自然辩证法                 
(10145)东北大学,统考,(015)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(612)哲学原理                 ,(800)自然辩证法                 
(10145)东北大学,统考,(015)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(612)哲学原理                 ,(800)自然辩证法                 
(10145)东北大学,统考,(015)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(612)哲学原理                 ,(800)自然辩证法                 
(10151)大连海事大学,统考,(012)公共管理与人文艺术学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(618)马克思主义哲学原理                 ,(828)西方哲学史                 
(10151)大连海事大学,统考,(012)公共管理与人文艺术学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(618)马克思主义哲学原理                 ,(828)西方哲学史                 
(10151)大连海事大学,统考,(012)公共管理与人文艺术学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(618)马克思主义哲学原理                 ,(828)西方哲学史                 
(10159)中国医科大学,统考,(003)医学人文学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(709)马克思主义哲学原理                 ,(829)伦理学原理                 
(10160)锦州医科大学,统考,(008)人文与管理学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(708)马克思主义哲学                 ,(801)伦理学原理                 
