学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10611)重庆大学,统考,(028)人文社会科学高等研究院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(656)中国哲学史                 ,(882)西方哲学史                 
(10611)重庆大学,统考,(028)人文社会科学高等研究院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(656)中国哲学史                 ,(882)西方哲学史                 
(10611)重庆大学,统考,(028)人文社会科学高等研究院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(656)中国哲学史                 ,(882)西方哲学史                 
(10635)西南大学,统考,(301)国家治理学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(635)哲学通论                 ,(843)哲学综合                 
(10635)西南大学,统考,(301)国家治理学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(635)哲学通论                 ,(843)哲学综合                 
(10635)西南大学,统考,(301)国家治理学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(635)哲学通论                 ,(843)哲学综合                 
(10635)西南大学,统考,(301)国家治理学院,(010104)逻辑学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(635)哲学通论                 ,(843)哲学综合                 
(10635)西南大学,统考,(301)国家治理学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(635)哲学通论                 ,(843)哲学综合                 
(10635)西南大学,统考,(301)国家治理学院,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(635)哲学通论                 ,(843)哲学综合                 
(10635)西南大学,统考,(301)国家治理学院,(010108)科学技术哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(635)哲学通论                 ,(843)哲学综合                 
(10635)西南大学,统考,(308)文学院,(010106)美学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(635)哲学通论                 ,(843)哲学综合                 
(10635)西南大学,统考,(781)“中国-希腊文明比较”专项-国家治理学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(635)哲学通论                 ,(843)哲学综合                 
(10637)重庆师范大学,统考,(001)马克思主义学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(610)辩证唯物主义与历史唯物主义                 ,(810)哲学概论                 
(10637)重庆师范大学,统考,(001)马克思主义学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(610)辩证唯物主义与历史唯物主义                 ,(810)哲学概论                 
(10637)重庆师范大学,统考,(001)马克思主义学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(610)辩证唯物主义与历史唯物主义                 ,(810)哲学概论                 
(10652)西南政法大学,统考,(013)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)辩证唯物主义                 ,(801)中国哲学史(先秦部分)                 
(10652)西南政法大学,统考,(013)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)辩证唯物主义                 ,(801)中国哲学史(先秦部分)                 
