学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10697)西北大学,统考,(004)文学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(614)美学原理                 ,(807)中西美学史                 
(10697)西北大学,统考,(004)文学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(615)宗教学概论                 ,(808)中外文化史                 
(10697)西北大学,统考,(008)历史学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(615)宗教学概论                 ,(808)中外文化史                 
(10697)西北大学,统考,(013)中国思想文化研究所,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(628)中国哲学史                 ,(817)西方哲学史                 
(10697)西北大学,统考,(013)中国思想文化研究所,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(615)宗教学概论                 ,(808)中外文化史                 
(10697)西北大学,统考,(033)哲学学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(627)哲学通论                 ,(855)中西哲学史                 
(10697)西北大学,统考,(033)哲学学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(627)哲学通论                 ,(855)中西哲学史                 
(10697)西北大学,统考,(033)哲学学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(627)哲学通论                 ,(855)中西哲学史                 
(10697)西北大学,统考,(033)哲学学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(627)哲学通论                 ,(855)中西哲学史                 
(10697)西北大学,统考,(033)哲学学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(627)哲学通论                 ,(855)中西哲学史                 
(10697)西北大学,统考,(033)哲学学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(627)哲学通论                 ,(855)中西哲学史                 
(10698)西安交通大学,统考,(010)人文社会科学学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(703)马克思主义哲学                 ,(823)中西哲学史                 
(10698)西安交通大学,统考,(010)人文社会科学学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(703)马克思主义哲学                 ,(823)中西哲学史                 
(10698)西安交通大学,统考,(010)人文社会科学学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(703)马克思主义哲学                 ,(823)中西哲学史                 
(10698)西安交通大学,统考,(010)人文社会科学学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(703)马克思主义哲学                 ,(823)中西哲学史                 
(10698)西安交通大学,统考,(010)人文社会科学学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(703)马克思主义哲学                 ,(823)中西哲学史                 
(10698)西安交通大学,统考,(010)人文社会科学学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(703)马克思主义哲学                 ,(823)中西哲学史                 
(10698)西安交通大学,统考,(010)人文社会科学学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(703)马克思主义哲学                 ,(823)中西哲学史                 
(10701)西安电子科技大学,统考,(008)人文学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(682)哲学原理                 ,(881)中西方哲学史                 
(10701)西安电子科技大学,统考,(008)人文学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(682)哲学原理                 ,(881)中西方哲学史                 
(10701)西安电子科技大学,统考,(008)人文学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(682)哲学原理                 ,(881)中西方哲学史                 
