学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10746)青海师范大学,统考,(044)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(652)中国哲学史                 ,(867)西方哲学史                 
(10746)青海师范大学,统考,(044)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(652)中国哲学史                 ,(867)西方哲学史                 
(10746)青海师范大学,统考,(044)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(652)中国哲学史                 ,(867)西方哲学史                 
(10748)青海民族大学,统考,(001)藏学院,(010104)逻辑学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)因明逻辑综合（藏文作答）                 
(10748)青海民族大学,统考,(001)藏学院,(010104)逻辑学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(801)因明逻辑综合（藏文作答）                 
(10748)青海民族大学,统考,(001)藏学院,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(802)宗教学综合（藏文作答）                 
(10748)青海民族大学,统考,(005)民族学与社会学学院,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(812)宗教学原理                 
(10748)青海民族大学,统考,(005)民族学与社会学学院,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(812)宗教学原理                 
(10748)青海民族大学,统考,(005)民族学与社会学学院,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(812)宗教学原理                 
(10748)青海民族大学,统考,(005)民族学与社会学学院,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(812)宗教学原理                 
(10748)青海民族大学,统考,(005)民族学与社会学学院,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(812)宗教学原理                 
(10748)青海民族大学,统考,(005)民族学与社会学学院,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(812)宗教学原理                 
(10748)青海民族大学,统考,(007)马克思主义学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(819)中西哲学史                 
(10748)青海民族大学,统考,(007)马克思主义学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(819)中西哲学史                 
(10748)青海民族大学,统考,(007)马克思主义学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(701)马克思主义哲学原理                 ,(819)中西哲学史                 
(10748)青海民族大学,统考,(002)经济与管理学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(805)经济学原理                 
(10748)青海民族大学,统考,(002)经济与管理学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(805)经济学原理                 
(10748)青海民族大学,统考,(002)经济与管理学院,(020100)理论经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(805)经济学原理                 
(10743)青海大学,统考,(012)财经学院,(020202)区域经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(928)经济学基础                 
(10743)青海大学,统考,(012)财经学院,(020204)金融学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(928)经济学基础                 
(10743)青海大学,统考,(012)财经学院,(020205)产业经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(928)经济学基础                 
(10746)青海师范大学,统考,(043)经济管理学院,(020200)应用经济学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(861)西方经济学                 
