学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10212)黑龙江大学,统考,(001)哲学学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(768)马克思主义哲学史                 ,(868)中外哲学史(不含现代部分)及哲学专题                 
(10212)黑龙江大学,统考,(001)哲学学院,(010101)马克思主义哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(768)马克思主义哲学史                 ,(868)中外哲学史(不含现代部分)及哲学专题                 
(10212)黑龙江大学,统考,(001)哲学学院,(010102)中国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(768)马克思主义哲学史                 ,(868)中外哲学史(不含现代部分)及哲学专题                 
(10212)黑龙江大学,统考,(001)哲学学院,(010103)外国哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(768)马克思主义哲学史                 ,(868)中外哲学史(不含现代部分)及哲学专题                 
(10212)黑龙江大学,统考,(001)哲学学院,(010105)伦理学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(768)马克思主义哲学史                 ,(868)中外哲学史(不含现代部分)及哲学专题                 
(10212)黑龙江大学,统考,(001)哲学学院,(010106)美学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(768)马克思主义哲学史                 ,(868)中外哲学史(不含现代部分)及哲学专题                 
(10212)黑龙江大学,统考,(001)哲学学院,(010107)宗教学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(768)马克思主义哲学史                 ,(868)中外哲学史(不含现代部分)及哲学专题                 
(10212)黑龙江大学,统考,(001)哲学学院,(010108)科学技术哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(768)马克思主义哲学史                 ,(868)中外哲学史(不含现代部分)及哲学专题                 
(10212)黑龙江大学,统考,(001)哲学学院,(0101Z1)文化哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(768)马克思主义哲学史                 ,(868)中外哲学史(不含现代部分)及哲学专题                 
(10213)哈尔滨工业大学,统考,(034)马克思主义学院,(010100)哲学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(616)哲学原理                 ,(858)西方哲学史                 
