学校,考试方式,院系所,专业,学习方式,研究方向,政治,外语,业务课1,业务课2
(10006)北京航空航天大学,统考,(010)生物与医学工程学院,(083100)生物医学工程,全日制,(01)生物力学,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(803)解剖生理学                 
(10006)北京航空航天大学,统考,(010)生物与医学工程学院,(083100)生物医学工程,全日制,(02)生物医学材料,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(803)解剖生理学                 
(10006)北京航空航天大学,统考,(010)生物与医学工程学院,(083100)生物医学工程,全日制,(03)细胞与组织工程,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(803)解剖生理学                 
(10006)北京航空航天大学,统考,(010)生物与医学工程学院,(083100)生物医学工程,全日制,(04)生物医学信息及仪器,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(803)解剖生理学                 
(10006)北京航空航天大学,统考,(010)生物与医学工程学院,(083100)生物医学工程,全日制,(05)人体行为与康复工程,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(803)解剖生理学                 
(10006)北京航空航天大学,统考,(010)生物与医学工程学院,(083100)生物医学工程,全日制,(06)生物技术,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(803)解剖生理学                 
(10006)北京航空航天大学,统考,(010)生物与医学工程学院,(083100)生物医学工程,全日制,(07)空间生命科学及生命保障技术,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(803)解剖生理学                 
(10006)北京航空航天大学,统考,(010)生物与医学工程学院,(083100)生物医学工程,全日制,(08)航空航天生物医学工程及人因工程,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(803)解剖生理学                 
(10006)北京航空航天大学,统考,(054)大科学装置研究院,(083100)生物医学工程,全日制,(01)零磁医学与技术,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(803)解剖生理学                 
(10006)北京航空航天大学,统考,(054)大科学装置研究院,(083100)生物医学工程,全日制,(02)人体功能成像技术,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(803)解剖生理学                 
(10006)北京航空航天大学,统考,(054)大科学装置研究院,(083100)生物医学工程,全日制,(03)精密磁场调控技术,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(803)解剖生理学                 
