学校,考试方式,院系所,专业,学习方式,研究方向,政治,外语,业务课1,业务课2
(10016)北京建筑大学,统考,(002)土木与交通工程学院,(081401)岩土工程,全日制,(01)地下结构理论及地下结构动力分析,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(801)土力学与地基基础                 
(10016)北京建筑大学,统考,(002)土木与交通工程学院,(081401)岩土工程,全日制,(02)地下工程施工技术研究,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(801)土力学与地基基础                 
(10016)北京建筑大学,统考,(002)土木与交通工程学院,(081401)岩土工程,全日制,(03)地下工程防水与防腐蚀性能研究,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(801)土力学与地基基础                 
(10016)北京建筑大学,统考,(002)土木与交通工程学院,(081401)岩土工程,全日制,(04)地下空间的开发与利用,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(801)土力学与地基基础                 
(10016)北京建筑大学,统考,(002)土木与交通工程学院,(081402)结构工程,全日制,(01)工程结构理论及应用,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(802)结构力学                 
(10016)北京建筑大学,统考,(002)土木与交通工程学院,(081402)结构工程,全日制,(02)混凝土及预应力结构理论与技术,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(802)结构力学                 
(10016)北京建筑大学,统考,(002)土木与交通工程学院,(081402)结构工程,全日制,(03)钢结构理论与技术,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(802)结构力学                 
(10016)北京建筑大学,统考,(002)土木与交通工程学院,(081402)结构工程,全日制,(04)结构全寿命设计与耐久研究,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(802)结构力学                 
(10016)北京建筑大学,统考,(002)土木与交通工程学院,(081402)结构工程,全日制,(05)结构监测与加固,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(802)结构力学                 
(10016)北京建筑大学,统考,(002)土木与交通工程学院,(081402)结构工程,全日制,(06)防灾减灾工程及防护工程,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(802)结构力学                 
(10016)北京建筑大学,统考,(002)土木与交通工程学院,(081402)结构工程,全日制,(07)智能建造,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(802)结构力学                 
(10016)北京建筑大学,统考,(002)土木与交通工程学院,(081402)结构工程,全日制,(08)土木工程材料,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(803)土木工程材料学                 
(10016)北京建筑大学,统考,(002)土木与交通工程学院,(081406)桥梁与隧道工程,全日制,(01)桥梁结构理论及工程应用,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(802)结构力学                 
(10016)北京建筑大学,统考,(002)土木与交通工程学院,(081406)桥梁与隧道工程,全日制,(02)桥梁结构施工控制与健康监测技术研究,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(802)结构力学                 
(10016)北京建筑大学,统考,(002)土木与交通工程学院,(081406)桥梁与隧道工程,全日制,(03)桥梁结构安全评定方法研究,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(802)结构力学                 
(10016)北京建筑大学,统考,(002)土木与交通工程学院,(081406)桥梁与隧道工程,全日制,(04)隧道工程理论及工程应用,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(802)结构力学                 
(10016)北京建筑大学,统考,(003)环境与能源工程学院,(081403)市政工程,全日制,(01)给水与废水处理理论与技术,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(806)水质工程学                 
(10016)北京建筑大学,统考,(003)环境与能源工程学院,(081403)市政工程,全日制,(02)建筑给排水理论与技术,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(806)水质工程学                 
(10016)北京建筑大学,统考,(003)环境与能源工程学院,(081403)市政工程,全日制,(03)给水排水工程系统优化,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(806)水质工程学                 
(10016)北京建筑大学,统考,(003)环境与能源工程学院,(081403)市政工程,全日制,(04)市政工程技术管理与经济,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(806)水质工程学                 
(10016)北京建筑大学,统考,(003)环境与能源工程学院,(081404)供热、供燃气、通风及空调工程,全日制,(01)健康舒适人工环境营造,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(805)传热学                 
(10016)北京建筑大学,统考,(003)环境与能源工程学院,(081404)供热、供燃气、通风及空调工程,全日制,(02)低碳高效建筑能源应用,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(805)传热学                 
(10016)北京建筑大学,统考,(003)环境与能源工程学院,(081404)供热、供燃气、通风及空调工程,全日制,(03)城乡清洁低碳能源利用,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(805)传热学                 
