学校,考试方式,院系所,专业,研究方向,政治,外语,业务课1,业务课2
(10378)安徽财经大学,统考,(000)不区分院系所,(120201)会计学,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(824)会计学                 
(10378)安徽财经大学,统考,(000)不区分院系所,(120202)企业管理,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(815)管理学                 
(10378)安徽财经大学,统考,(000)不区分院系所,(120203)旅游管理,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(815)管理学                 
(10378)安徽财经大学,统考,(000)不区分院系所,(120204)技术经济及管理,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(815)管理学                 
(10378)安徽财经大学,统考,(000)不区分院系所,(1202Z1)市场营销,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(815)管理学                 
(10378)安徽财经大学,统考,(000)不区分院系所,(1202Z2)物流管理与电子商务,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(815)管理学                 
(10370)安徽师范大学,统考,(018)法学院,(035200)(专业学位)社会工作,不区分方向,                (101)思想政治理论                ,(204)英语（二）                 ,(331)社会工作原理                 ,(437)社会工作实务                 
(10005)北京工业大学,统考,(064)城市建设学部,(081400)土木工程,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(841)结构与岩土力学                 
(10005)北京工业大学,统考,(064)城市建设学部,(081400)土木工程,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(845)水分析化学与水力学                 
(10005)北京工业大学,统考,(064)城市建设学部,(081400)土木工程,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(846)流体力学与传热学                 
(10005)北京工业大学,统考,(064)城市建设学部,(085900)(专业学位)土木水利,不区分方向,                (101)思想政治理论                ,(204)英语（二）                 ,(302)数学（二）                 ,(841)结构与岩土力学                 
(10005)北京工业大学,统考,(064)城市建设学部,(085900)(专业学位)土木水利,不区分方向,                (101)思想政治理论                ,(204)英语（二）                 ,(302)数学（二）                 ,(845)水分析化学与水力学                 
(10005)北京工业大学,统考,(064)城市建设学部,(085900)(专业学位)土木水利,不区分方向,                (101)思想政治理论                ,(204)英语（二）                 ,(302)数学（二）                 ,(846)流体力学与传热学                 
(10006)北京航空航天大学,统考,(010)生物与医学工程学院,(077700)生物医学工程,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(802)细胞与分子生物学                 
(10006)北京航空航天大学,统考,(010)生物与医学工程学院,(083100)生物医学工程,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(803)解剖生理学                 
(10006)北京航空航天大学,统考,(054)大科学装置研究院,(083100)生物医学工程,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(803)解剖生理学                 
(10006)北京航空航天大学,统考,(003)自动化科学与电气工程学院,(085500)(专业学位)机械,不区分方向,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(933)控制工程综合                 
(10006)北京航空航天大学,统考,(004)能源与动力工程学院,(085500)(专业学位)机械,不区分方向,                (101)思想政治理论                ,(202)俄语                 ,(302)数学（二）                 ,(941)能源动力综合                 
